,Calculated variables,Type(Stoichiometric),,,,,
Symbol,Name,Expression,Value,Unit,Decimals,Rule,Principle/comment
"rate_TCOD,autotrophs",Rate of TCOD in nitrifier growth (J),((v4_XNITO * r4)),21.8481955,g.m-3.d-1,2,GenThreePondModel,
,,,,,,,
,TN Balance - pond model,Type(Kinetic),,,,,
Symbol,Name,Expression,Value,Unit,Decimals,Rule,Principle/comment
"rate_SNHx,stripping",Rate of SNHx stripping (F),0,0,g.m-3.d-1,2,GenThreePondModel,
"rate_TN,denit",Rate of TN denitrified (G), + ((v2_SNOx * r2 * 1) + (v19_SNOx * r19 * 1)),-12.54153905,g.m-3.d-1,2,GenThreePondModel,
,,,,,,,
,O2 Balance - pond model,Type(Kinetic),,,,,
Symbol,Name,Expression,Value,Unit,Decimals,Rule,Principle/comment
"rate_SO2,aerator",Rate of SO2 transferred by mechanical aeration (D),((v33_SO2 * r33)) * SOTRaerator/SOTRsur,12,g.m-3.d-1,2,GenThreePondModel,
"rate_SO2,sur",Rate of SO2 transferred by natural aeration (E),"((v33_SO2 * r33)) * SOTRsur,min/SOTRsur",12,g.m-3.d-1,2,GenThreePondModel,
"rate_SO2,C,oxidation",Rate of SO2 consumed by carbon oxidation (F), - ((v1_SO2 * r1 * -1)),-342.3741706,g.m-3.d-1,2,GenThreePondModel,
"rate_SO2,nitrif",Rate of SO2 consumed by nitrification (G),((v4_SO2 * r4)),-394.0932457,g.m-3.d-1,2,GenThreePondModel,
"rate_SO2,Fe,oxidation",Rate of SO2 consumed by iron oxidation (H),0,0,g.m-3.d-1,2,GenThreePondModel,
"rate_SO2,photosynt",Rate of SO2 produced by photosynthesis (I),((v11_SO2 * r11) + (v10_SO2 * r10)),0,g.m-3.d-1,2,GenThreePondModel,
"rate_SO2,ALGAE,resp",Rate of SO2 produced by ALGAE respiration (J),((v12_SO2 * r12)),0,g.m-3.d-1,2,GenThreePondModel,
,,,,,,,
,SNHx processes - pond model,Type(Kinetic),,,,,
Symbol,Name,Expression,Value,Unit,Decimals,Rule,Principle/comment
"rate_SNHx,OHOs",Rate of ammonia from ordinary heterotrophic organisms,((v1_SNHx * r1) + (v2_SNHx * r2) + (v3_SNHx * r3)),-51.33297383,g.m-3.d-1,2,GenThreePondModel,
"rate_SNHx,NITOs",Rate of ammonia from nitrification,((v4_SNHx * r4) + (v5_SNHx * r5)),-92.55740161,g.m-3.d-1,2,GenThreePondModel,
"rate_SNHx,ALGAE",Rate of ammonia from algae,((v11_SNHx * r11) + (v12_SNHx * r12) + (v13_SNHx * r13)),0,g.m-3.d-1,2,GenThreePondModel,
"rate_SNHx,Hydrolysis",Rate of ammonia from hydrolysis,((v16_SNHx * r16) + (v19_SNHx * r19)),15.16494088,g.m-3.d-1,2,GenThreePondModel,
,,,,,,,
,SNOx processes - pond model,Type(Kinetic),,,,,
Symbol,Name,Expression,Value,Unit,Decimals,Rule,Principle/comment
"rate_SNOx,OHOs",Rate of nitrate from ordinary heterotrophic organisms,((v2_SNOx * r2)),-12.41656821,g.m-3.d-1,2,GenThreePondModel,
"rate_SNOx,NITOs",Rate of nitrate from nitrification,((v4_SNOx * r4)),91.03414792,g.m-3.d-1,2,GenThreePondModel,
"rate_SNOx,ALGAE",Rate of nitrate from algae,((v10_SNOx * r10)),0,g.m-3.d-1,2,GenThreePondModel,
,,,,,,,
,SPO4 processes - pond model,Type(Kinetic),,,,,
Symbol,Name,Expression,Value,Unit,Decimals,Rule,Principle/comment
"rate_SPO4,OHOs",Rate of exchange of phosphate with sediments,((v1_SPO4 * r1) + (v2_SPO4 * r2)),-14.73494933,g.m-3.d-1,2,GenThreePondModel,
"rate_SPO4,NITOs",Rate of phosphate from ordinary heterotrophic organisms,((v4_SPO4 * r4)),-0.43696391,g.m-3.d-1,2,GenThreePondModel,
"rate_SPO4,ALGAE",Rate of phosphate from nitrification,((v10_SPO4 * r10) + (v11_SPO4 * r11) + (v12_SPO4 * r12) + (v13_SPO4 * r13)),0,g.m-3.d-1,2,GenThreePondModel,
"rate_SPO4,Hydrolysis",Rate of phosphate from algae,((v14_SPO4 * r14) + (v15_SPO4 * r15) + (v19_SPO4 * r19)),2.182917216,g.m-3.d-1,2,GenThreePondModel,
"rate_SPO4,Precipitation",Rate of phosphate from precipitation reactions,((v20_SPO4 * r20) + (v21_SPO4 * r21) + (v22_SPO4 * r22) + (v23_SPO4 * r23)),-5.52828E-49,g.m-3.d-1,2,GenThreePondModel,
,,,,,,,
,Aeration - pond model,Type(Kinetic),,,,,
Symbol,Name,Expression,Value,Unit,Decimals,Rule,Principle/comment
"rate_DiffAer,ox,transf",Diffused aeration oxygen transferred,(v29_SO2 * r29),800,g.m-3.d-1,2,GenThreePondModel,
"rate_SurfAer,ox,transf",Surface aeration oxygen transferred,(v33_SO2 * r33),24,g.m-3.d-1,2,GenThreePondModel,
,,,,,,,
,Nitrifier kinetics - pond model,Type(Kinetic),,,,,
Symbol,Name,Expression,Value,Unit,Decimals,Rule,Principle/comment
"Display_?AOB,T",Nitrifier specific growth rate (temperature corrected),"?NITO,T",0.9,d-1,2,GenThreePondModel,
Display_XAOB,Nitrifier concentration (AOB for two-step or NITO for single-step),XNITO,50,g COD.m-3,2,GenThreePondModel,
"Display_MsatSNHx,KNHx,AOB",Ammonia availability (Monod saturation function),"MsatSNHx,KNHx,NITO",0.810810811,-,2,GenThreePondModel,
"Display_LogsatpHCO2,AOB",CO2 availability (Log saturation function),-1,-1,unitless,2,GenThreePondModel,
"Display_MsatSO2,KO2,AOB",Oxygen availability (Monod saturation function),"MsatSO2,KO2,NITO",0.8,-,2,GenThreePondModel,
"Display_MsatSPO4,KPO4,BIO",Phosphate availability (Monod saturation function),"MsatSPO4,KPO4,BIO",0.998003992,-,2,GenThreePondModel,
"Display_MsatSCAT,KCAT",Cation availability (Monod saturation function),-1,-1,unitless,2,GenThreePondModel,
"Display_MsatSAN,KAN",Anion availability (Monod saturation function),-1,-1,unitless,2,GenThreePondModel,
"Display_MsatSCa,KCa",Calcium availability (Monod saturation function),-1,-1,unitless,2,GenThreePondModel,
"Display_MsatSMg,KMg",Magnesium availability (Monod saturation function),-1,-1,unitless,2,GenThreePondModel,
"Display_MsatSSO4,KSO4,BIO",Sulphate availability (Monod saturation function),-1,-1,unitless,2,GenThreePondModel,
"Display_MinhpHHNO2,AOB",Nitrous acid inhibition (Monod saturation function),-1,-1,unitless,2,GenThreePondModel,
"Display_MinhpHNH3,NITO",Un-ionized ammonia inhibition (Monod saturation function),-1,-1,unitless,2,GenThreePondModel,
"Display_BellinhpH,AOB",pH inhibition function,-1,-1,unitless,2,GenThreePondModel,
"Display_MsatSALK,KALK",Alkalinity availability (Monod saturation function),"MsatSALK,KALK",0.75,-,2,GenThreePondModel,
,,,,,,,
,Algal kinetics - pond model,Type(Kinetic),,,,,
Symbol,Name,Expression,Value,Unit,Decimals,Rule,Principle/comment
"Display_?ALGAE,T",Algal specific growth rate (temperature corrected),"?ALGAE,T",2,d-1,2,GenThreePondModel,
Display_XALGAE,Algal concentration,XALGAE,0,g COD.m-3,2,GenThreePondModel,
"Display_MsatSCO2,KCO2,ALGAE",CO2 availability (Monod saturation function),-1,-1,unitless,2,GenThreePondModel,
Display_LightSwitch,Light availability function,LightSwitch,7.81835E-42,-,2,GenThreePondModel,
"Display_MsatSNOx,KNOx,ALGAE",Nitrate availability (Monod saturation function),"MsatSNOx,KNOx,ALGAE",0.967741935,-,2,GenThreePondModel,
"Display_MinhSNHx,KiNHx,ALGAE",Ammonia inhibition of nitrate assimilation (Monod saturation function),"MinhSNHx,KiNHx,ALGAE",0.142857143,-,2,GenThreePondModel,
"Display_MsatSNHx,KNHx,ALGAE",Ammonia availability (Monod saturation function),"MsatSNHx,KNHx,ALGAE",0.810810811,-,2,GenThreePondModel,
