,Calculated variables,Type(Stoichiometric),,,,,
Symbol,Name,Expression,Value,Unit,Decimals,Rule,Principle/comment
"fbw,floc",Fraction of bound water,"(XVSS,BIO*(ivw,BIO+iiw,BIO+iwh,BIO) + XVSS,BIO * (ivw,EPS + iwh,EPS) + XE/iCV,XE * (ivw,XE+iwh,XE) + XE/iCV,XE * (ivw,EPS + iwh,EPS) + XB/iCV,XB *(ivw,XB+iwh,XB) + XU/iCV,XU *(ivw,XU+iwh,XU))/XVSS",1.854988661,g H2O.g VS-1,1,,
TPFOA,Total PFOA,SPFOA + XPFOA,0.000002,g PFAS.m-3,4,PFAS,
TPFOS,Total PFOS,SPFOS + XPFOS,0.000002,g PFAS.m-3,4,PFAS,
,,,,,,,
,Oxidation-reduction potential,Type(Kinetic),,,,,
Symbol,Name,Expression,Value,Unit,Decimals,Rule,Principle/comment
ORPO2,Oxidation-reduction potential due to dissolved oxygen,"ORPbase+(ORPmax,SO2-ORPbase)*SO2/(KORP,SO2+SO2)",285.3658537,mV,1,,
ORPNOx,Oxidation-reduction potential due to dissolved nitrate,"ORPbase+(ORPmax,SNOx-ORPbase)*SNOx/(KORP,SNOx+SNOx)",67.54966887,mV,1,,
"ratioAAR,rbCODDR",rbCODDR to AAR ratio,AAR/rbCODDR,6.67468E-05,-,1,,
ORPana,Oxidation-reduction potential due to anaerobic activity,"ORPbase * (ratioAAR,rbCODDR)/(KORP,ana + ratioAAR,rbCODDR)",-0.399947177,mV,1,,
ORP,Oxidation-reduction potential,Max(ORPO2;ORPNOx;ORPana),285.3658537,mV,1,,
,,,,,,,
,Pond calculated variables,Type(Kinetic),,,,,
Symbol,Name,Expression,Value,Unit,Decimals,Rule,Principle/comment
LightSwitch,Light switch to account for solar irradiation and TSS shading,"Loginhswitch(XTSS/KXTSS,lightextinction; 1; 100) * Logsatswitch(Jphotosynt,solar/Jphotosynt,solar,opt;1;100)",7.81835E-42,-,2,GenThreePondModel,
,,,,,,,
,Uptake rates,Type(Kinetic),,,,,
Symbol,Name,Expression,Value,Unit,Decimals,Rule,Principle/comment
OUR,Oxygen uptake rate (OUR),-(v1_SO2*r1+v4_SO2*r4),736.4674163,g O2.m-3.d-1,1,Non-Digester,
NUR,Nitrate uptake rate (N3UR),-(v2_SNOx*r2+v19_SNOx*r19),12.54153905,g N.m-3.d-1,1,Non-Digester,
